pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
PflaHELAf	OZ251424.1	1	50000	0.0058343057176196	1714	10	1714	0
PflaKGBHm	OZ251424.1	1	50000	0.0046674445740956	1714	8	1714	0
PflaHELEm	OZ251424.1	1	50000	0.0087514585764294	1714	15	1714	0
PflaKGBDf	OZ251424.1	1	50000	0.0058343057176196	1714	10	1714	0
PflaKGBHm	OZ251424.1	50001	100000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	50001	100000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	50001	100000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	50001	100000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	100001	150000	0.05	20	1	20	0
PflaKGBHm	OZ251424.1	100001	150000	0.05	20	1	20	0
PflaHELEm	OZ251424.1	100001	150000	0.05	20	1	20	0
PflaHELAf	OZ251424.1	100001	150000	0.0	20	0	20	0
PflaHELAf	OZ251424.1	150001	200000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	150001	200000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	150001	200000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	150001	200000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	200001	250000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	200001	250000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	200001	250000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	200001	250000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	250001	300000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	250001	300000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	250001	300000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	250001	300000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	300001	350000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	300001	350000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	300001	350000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	300001	350000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	350001	400000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	350001	400000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	350001	400000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	350001	400000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	400001	450000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	400001	450000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	400001	450000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	400001	450000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	450001	500000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	450001	500000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	450001	500000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	450001	500000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	500001	550000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	500001	550000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	500001	550000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	500001	550000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	550001	600000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	550001	600000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	550001	600000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	550001	600000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	600001	650000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	600001	650000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	600001	650000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	600001	650000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	650001	700000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	650001	700000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	650001	700000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	650001	700000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	700001	750000	0.0	2	0	2	0
PflaHELEm	OZ251424.1	700001	750000	0.0	2	0	2	0
PflaKGBDf	OZ251424.1	700001	750000	0.0	2	0	2	0
PflaHELAf	OZ251424.1	700001	750000	0.0	2	0	2	0
PflaKGBHm	OZ251424.1	750001	800000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	750001	800000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	750001	800000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	750001	800000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	800001	850000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	800001	850000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	800001	850000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	800001	850000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	850001	900000	0.0073166581589246	5877	43	5877	0
PflaKGBDf	OZ251424.1	850001	900000	0.0008507742045261	5877	5	5877	0
PflaHELEm	OZ251424.1	850001	900000	0.0042538710226305	5877	25	5877	0
PflaKGBHm	OZ251424.1	850001	900000	0.0008507742045261	5877	5	5877	0
PflaKGBHm	OZ251424.1	900001	950000	0.004930349037408	25556	126	25556	0
PflaHELEm	OZ251424.1	900001	950000	0.0021521364845828	25556	55	25556	0
PflaKGBDf	OZ251424.1	900001	950000	0.0019956174675223	25556	51	25556	0
PflaHELAf	OZ251424.1	900001	950000	0.0019564877132571	25556	50	25556	0
PflaHELAf	OZ251424.1	950001	1000000	0.0010459078853983	26771	28	26771	0
PflaKGBDf	OZ251424.1	950001	1000000	0.0008591386201486	26771	23	26771	0
PflaHELEm	OZ251424.1	950001	1000000	0.0013073848567479	26771	35	26771	0
PflaKGBHm	OZ251424.1	950001	1000000	0.0011579694445482	26771	31	26771	0
PflaKGBHm	OZ251424.1	1000001	1050000	0.0011776325786354	26324	31	26324	0
PflaHELEm	OZ251424.1	1000001	1050000	0.0016334903510104	26324	43	26324	0
PflaKGBDf	OZ251424.1	1000001	1050000	0.0014815377602188	26324	39	26324	0
PflaHELAf	OZ251424.1	1000001	1050000	0.0014815377602188	26324	39	26324	0
PflaHELAf	OZ251424.1	1050001	1100000	0.0003762935089369	26575	10	26575	0
PflaKGBDf	OZ251424.1	1050001	1100000	0.0003010348071495	26575	8	26575	0
PflaHELEm	OZ251424.1	1050001	1100000	0.000489181561618	26575	13	26575	0
PflaKGBHm	OZ251424.1	1050001	1100000	0.0006020696142991	26575	16	26575	0
PflaHELEm	OZ251424.1	1100001	1150000	0.0012906376447607	28668	37	28668	0
PflaKGBDf	OZ251424.1	1100001	1150000	0.0010115808567043	28668	29	28668	0
PflaHELAf	OZ251424.1	1100001	1150000	0.0011162271522254	28668	32	28668	0
PflaKGBHm	OZ251424.1	1100001	1150000	0.0006278777731268	28668	18	28668	0
PflaHELAf	OZ251424.1	1150001	1200000	0.0008752877103121	30847	27	30847	0
PflaKGBDf	OZ251424.1	1150001	1200000	0.0006807793302428	30847	21	30847	0
PflaHELEm	OZ251424.1	1150001	1200000	0.0008428696469672	30847	26	30847	0
PflaKGBHm	OZ251424.1	1150001	1200000	0.0006807793302428	30847	21	30847	0
PflaHELEm	OZ251424.1	1200001	1250000	0.0011561648360723	24218	28	24218	0
PflaKGBDf	OZ251424.1	1200001	1250000	0.0012387480386489	24218	30	24218	0
PflaHELAf	OZ251424.1	1200001	1250000	0.0010735816334957	24218	26	24218	0
PflaKGBHm	OZ251424.1	1200001	1250000	0.0006606656206127	24218	16	24218	0
PflaHELAf	OZ251424.1	1250001	1300000	0.0003163430740638	25289	8	25289	0
PflaKGBDf	OZ251424.1	1250001	1300000	0.0003954288425797	25289	10	25289	0
PflaHELEm	OZ251424.1	1250001	1300000	0.0003954288425797	25289	10	25289	0
PflaKGBHm	OZ251424.1	1250001	1300000	0.0003163430740638	25289	8	25289	0
PflaHELEm	OZ251424.1	1300001	1350000	0.0029150713539853	22984	67	22984	0
PflaKGBHm	OZ251424.1	1300001	1350000	0.0033066481030281	22984	76	22984	0
PflaHELAf	OZ251424.1	1300001	1350000	0.0016098155238426	22984	37	22984	0
PflaKGBDf	OZ251424.1	1300001	1350000	0.0024799860772711	22984	57	22984	0
PflaHELAf	OZ251424.1	1350001	1400000	0.0002902020531795	27567	8	27567	0
PflaKGBDf	OZ251424.1	1350001	1400000	0.0005078535930641	27567	14	27567	0
PflaHELEm	OZ251424.1	1350001	1400000	0.0003990278231218	27567	11	27567	0
PflaKGBHm	OZ251424.1	1350001	1400000	0.000580404106359	27567	16	27567	0
PflaKGBDf	OZ251424.1	1400001	1450000	0.00021734405564	27606	6	27606	0
PflaHELAf	OZ251424.1	1400001	1450000	0.0002897920741867	27606	8	27606	0
PflaKGBHm	OZ251424.1	1400001	1450000	0.00010867202782	27606	3	27606	0
PflaHELEm	OZ251424.1	1400001	1450000	0.0003622400927334	27606	10	27606	0
PflaHELEm	OZ251424.1	1450001	1500000	0.0004630058338735	32397	15	32397	3
PflaKGBDf	OZ251424.1	1450001	1500000	0.0004328335136806	32345	14	32345	55
PflaKGBHm	OZ251424.1	1450001	1500000	0.0011419753086419	32400	37	32400	0
PflaHELAf	OZ251424.1	1450001	1500000	0.0004012345679012	32400	13	32400	0
PflaKGBHm	OZ251424.1	1500001	1550000	0.0004105997915416	31661	13	31661	0
PflaHELAf	OZ251424.1	1500001	1550000	0.0001895075960961	31661	6	31661	0
PflaKGBDf	OZ251424.1	1500001	1550000	0.0011686301759262	31661	37	31661	0
PflaHELEm	OZ251424.1	1500001	1550000	0.001421306970721	31661	45	31661	0
PflaHELEm	OZ251424.1	1550001	1600000	0.0026191572645636	34744	91	34744	0
PflaKGBDf	OZ251424.1	1550001	1600000	0.0033099240156573	34744	115	34744	0
PflaHELAf	OZ251424.1	1550001	1600000	0.0006619848031314	34744	23	34744	0
PflaKGBHm	OZ251424.1	1550001	1600000	0.0009498042827538	34744	33	34744	0
PflaKGBHm	OZ251424.1	1600001	1650000	0.0007368593417389	36642	27	36642	0
PflaHELEm	OZ251424.1	1600001	1650000	0.0015555919436711	36642	57	36642	0
PflaKGBDf	OZ251424.1	1600001	1650000	0.0010643523825118	36642	39	36642	0
PflaHELAf	OZ251424.1	1600001	1650000	0.0002183286938485	36642	8	36642	0
PflaHELEm	OZ251424.1	1650001	1700000	0.0012044843880292	32379	39	32379	0
PflaKGBHm	OZ251424.1	1650001	1700000	0.0006176843015534	32379	20	32379	0
PflaKGBDf	OZ251424.1	1650001	1700000	0.000277957935699	32379	9	32379	0
PflaHELAf	OZ251424.1	1650001	1700000	0.000185305290466	32379	6	32379	0
PflaHELAf	OZ251424.1	1700001	1750000	0.0017666804075142	33962	60	33962	0
PflaKGBDf	OZ251424.1	1700001	1750000	0.0006477828160885	33962	22	33962	0
PflaHELEm	OZ251424.1	1700001	1750000	0.0030033566927742	33962	102	33962	0
PflaKGBHm	OZ251424.1	1700001	1750000	0.0020611271420999	33962	70	33962	0
PflaHELEm	OZ251424.1	1750001	1800000	0.0024746065087906	34753	86	34753	0
PflaHELAf	OZ251424.1	1750001	1800000	0.002301959543061	34753	80	34753	0
PflaKGBDf	OZ251424.1	1750001	1800000	0.0006330388743417	34753	22	34753	0
PflaKGBHm	OZ251424.1	1750001	1800000	0.0024500619721557	34693	85	34693	60
PflaKGBHm	OZ251424.1	1800001	1850000	0.001925315662219	22334	43	22334	0
PflaHELAf	OZ251424.1	1800001	1850000	0.0050595504611802	22334	113	22334	0
PflaKGBDf	OZ251424.1	1800001	1850000	0.0033581087131727	22334	75	22334	0
PflaHELEm	OZ251424.1	1800001	1850000	0.0047909017641264	22334	107	22334	0
PflaKGBHm	OZ251424.1	1850001	1900000	0.0024374452526945	26257	64	26257	0
PflaHELEm	OZ251424.1	1850001	1900000	0.002818296073428	26257	74	26257	0
